Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Auto-Status	input	filtered	denoised	merged	non-chimeric	D_0__Archaea	D_0__Bacteria	D_0__Eukaryota	Unassigned	frac_filtered	Mag-Col	IR
SC249385-PC07578-C-07	PC07578	Run3	NP0084-MB5	SC249385	Study	Robogut	DZ35298	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	None	Standard	Plate Adaptor	Plate	Standard	148085	117056	117056	113482	102224	0	102224	0	0	30.9693757	Magnetic	None
SC249387-PC04925-G-01	PC04925	Run2	NP0084-MB4	SC249387	Ext_Control	Ext_Blank	Water	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	None	Standard	Plate Adaptor	Plate	Standard	126192	113548	113548	112455	111860	0	111860	0	0	11.35729682	Magnetic	None
SC249387-PC07578-G-01	PC07578	Run3	NP0084-MB5	SC249387	Ext_Control	Ext_Blank	Water	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	None	Standard	Plate Adaptor	Plate	Standard	115745	92147	92147	90710	90225	0	90225	0	0	22.04846862	Magnetic	None
SC249388	PC04924	Run1	NP0084-MB4	SC249388	Ext_Control	art_col	DZ35322	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	None	Standard	Plate Adaptor	Plate	Standard	124290	89410	89410	82201	81427	0	81427	0	0	34.48628208	Magnetic	None
SC249390	PC04924	Run1	NP0084-MB4	SC249390	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	None	Standard	Plate Adaptor	Plate	Standard	105748	72300	72300	66752	59004	0	59004	0	0	44.20320006	Magnetic	None
SC249391	PC07578	Run3	NP0084-MB5	SC249391	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	None	Standard	Plate Adaptor	Plate	Standard	31	21	21	7	7	0	7	0	0	77.41935484	Magnetic	None
SC249391-PC04924-D-03	PC04924	Run1	NP0084-MB4	SC249391	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	None	Standard	Plate Adaptor	Plate	Standard	123181	83466	83466	77537	68571	0	68556	13	2	44.33313579	Magnetic	None
SC249391-PC04925-H-01	PC04925	Run2	NP0084-MB4	SC249391	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	None	Standard	Plate Adaptor	Plate	Standard	98660	88848	88848	82151	70605	0	70587	18	0	28.43604298	Magnetic	None
SC249393	PC04924	Run1	NP0084-MB4	SC249393	Ext_Control	Ext_Blank	Water	sFEMB-001-R-003	ZymoResearch	96 MagBead DNA Extraction Kit	None	Standard	Plate Adaptor	Plate	Standard	131475	96915	96915	93635	93244	0	93182	0	62	29.07853204	Magnetic	None
SC249406	PC04925	Run2	NP0084-MB4	SC249406	Ext_Control	Ext_Blank	Water	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	2228	2005	2005	1979	1979	0	1979	0	0	11.17594255	Magnetic	Solution
