Sample ID	CGR-Sample-ID	Sample-Type	GM-Rack	VC	QDNA	Yield NG
SC553008	SC553008	Study	PC21459	9.0	1.5	13.3
SC253848	SC253848	Ext.Control	PC02231	63.1	1.5	95.9
SC553065	SC553065	Ext.Control	PC21491	37.8	1.5	58.2
SC552992	SC552992	Study	PC21458	40.7	1.6	63.9
SC249452	SC249452	Study	PC01722	16.0	1.6	25.1
SC249417	SC249417	Study	PC01719	0.3	1.6	0.5
SC253193	SC253193	Study	PC01914	0.3	1.6	0.5
SC249412	SC249412	Ext.Control	PC01719	1.2	1.7	2.0
SC553025	SC553025	Ext.Control	PC21460	134.9	1.8	236.1
SC553053	SC553053	Ext.Control	PC21466	46.1	1.8	84.8
SC553088	SC553088	Study	PC21494	43.3	1.9	81.1
SC553011	SC553011	Ext.Control	PC21459	8.2	1.9	15.5
SC249425	SC249425	Ext.Control	PC01720	6.1	2.0	12.3
SC552954	SC552954	Ext.Control	PC21455	47.0	2.4	111.9
SC261528-PC04925-E-10	SC261528	Study	PC03133	54.8	2.4	133.2
SC261528-PC07578-E-11	SC261528	Study	PC03133	54.8	2.4	133.2
SC253189	SC253189	Ext.Control	PC01913	10.5	2.4	25.6
SC249442	SC249442	Ext.Control	PC01722	10.8	2.5	26.8
SC553083	SC553083	Ext.Control	PC21493	87.8	2.5	218.6
SC253844	SC253844	Ext.Control	PC02231	76.1	2.5	191.0
SC553009	SC553009	Ext.Control	PC21459	21.3	2.6	54.7
SC552997	SC552997	Ext.Control	PC21458	57.5	2.6	148.9
SC553087	SC553087	Ext.Control	PC21494	68.2	2.6	178.7
SC552964	SC552964	Study	PC21456	49.2	2.8	136.3
SC249407	SC249407	Study	PC01719	13.3	2.8	37.5
SC553010	SC553010	Study	PC21459	30.7	2.9	87.7
SC553015	SC553015	Study	PC21459	25.7	2.9	74.4
SC249390	SC249390	Ext.Control	PC01717	14.2	3.0	42.2
SC553020	SC553020	Study	PC21460	145.5	3.2	465.6
SC552977	SC552977	Study	PC21457	49.9	3.3	162.1
SC249432-PC04924-A-08	SC249432	Ext.Control	PC01721	0.2	3.3	0.7
SC249432-PC04925-B-04	SC249432	Ext.Control	PC01721	0.2	3.3	0.7
SC253854	SC253854	Ext.Control	PC02231	80.8	3.3	265.0
SC553006	SC553006	Study	PC21459	34.5	3.4	116.1
SC502453	SC502453	Study	PC17554	43.1	3.4	147.9
SC553030	SC553030	Ext.Control	PC21460	138.7	3.6	493.9
SC552949	SC552949	Study	PC21455	46.5	3.6	167.2
SC553041	SC553041	Ext.Control	PC21463	56.1	3.7	205.2
SC249447-PC04924-G-09	SC249447	Study	PC01722	4.6	3.8	17.4
SC249447-PC04925-C-05	SC249447	Study	PC01722	4.6	3.8	17.4
SC249419-PC04924-F-06	SC249419	Study	PC01720	4.6	3.8	17.4
SC249419-PC04925-C-03	SC249419	Study	PC01720	4.6	3.8	17.4
SC553045	SC553045	Ext.Control	PC21464	59.7	4.0	240.7
SC553061	SC553061	Ext.Control	PC21468	150.8	4.3	640.8
SC553073	SC553073	Study	PC21492	56.7	4.7	265.2
SC552973	SC552973	Ext.Control	PC21456	59.5	4.7	282.2
SC553037	SC553037	Ext.Control	PC21462	62.1	4.7	294.3
SC253846	SC253846	Study	PC02231	65.4	4.9	319.8
SC253846-PC04924-A-11	SC253846	Study	PC02231	65.4	4.9	319.8
SC253846-PC04925-D-09	SC253846	Study	PC02231	65.4	4.9	319.8
SC553049	SC553049	Ext.Control	PC21465	108.4	5.3	569.2
SC553002	SC553002	Ext.Control	PC21458	72.4	5.4	391.0
SC304924-PC07578-A-11	SC304924	Ext.Control	PC05933	33.0	5.4	179.1
SC304924-PC07578-B-07	SC304924	Ext.Control	PC05933	33.0	5.4	179.1
SC304092	SC304092	Ext.Control	PC05752	21.1	5.5	117.0
SC553021	SC553021	Study	PC21460	147.7	5.6	821.2
SC552950	SC552950	Study	PC21455	70.8	5.8	412.8
SC304937	SC304937	Ext.Control	PC05934	32.1	5.9	188.1
SC253845	SC253845	Study	PC02231	70.8	6.0	422.0
