Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC249403	PC04924_G_04	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249403	Ext_Control	Ext_Blank	Water	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249396-PC04924-A-04	PC04924_A_04	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249396	Study	human_1	human_1	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249396-PC04925-A-02	PC04925_A_02	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC249396	Study	human_1	human_1	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249399-PC04924-D-04	PC04924_D_04	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249399	Study	human_1	human_1	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249399-PC04925-B-02	PC04925_B_02	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC249399	Study	human_1	human_1	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249401	PC04924_F_04	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249401	Study	human_1	human_1	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249405-PC04924-A-05	PC04924_A_05	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249405	Study	human_1	human_1	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249405-PC04925-C-02	PC04925_C_02	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC249405	Study	human_1	human_1	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249394	PC04924_G_03	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249394	Study	Robogut	DZ35298	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249398	PC04924_C_04	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249398	Study	Robogut	DZ35298	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249395	PC04924_H_03	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249395	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC249404	PC04924_H_04	180112_M01354_0104_000000000-BFN3F	NP0084-MB4	SC249404	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-004	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261518	PC04925_C_10	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC261518	Ext_Control	Ext_Blank	Water	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261524-PC04925-H-09	PC04925_H_09	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC261524	Ext_Control	Ext_Blank	Water	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261524-PC07578-H-09	PC07578_H_09	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC261524	Ext_Control	Ext_Blank	Water	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
