"","Yr","Pop","violent","murder","rape1","robbery","aggassault","propcrime","burg","larceny","mvtheft","ST","PopTotal_1970","Pop_Un18_1970","Pop_20to40_1970","Pop_40to60_1970","Pop_60Ov_1970","PopTotal_1975","Pop_Un18_1975","Pop_20to40_1975","Pop_40to60_1975","Pop_60Ov_1975","PopTotal_1980","Pop_Un18_1980","Pop_20to40_1980","Pop_40to60_1980","Pop_60Ov_1980","PopTotal_1985","Pop_Un18_1985","Pop_20to40_1985","Pop_40to60_1985","Pop_60Ov_1985","PopTotal_1990","Pop_Un18_1990","Pop_20to40_1990","Pop_40to60_1990","Pop_60Ov_1990","PopTotal_1995","Pop_Un18_1995","Pop_20to40_1995","Pop_40to60_1995","Pop_60Ov_1995"
"278",1970,3219311,7157,11.1,13.7,72.8,124.7,2261.8,703.9,1211.5,346.3,"KY",3236121,38.5311612266661,25.4510260895683,21.2608861040734,14.7569265796922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",1970,3643180,15063,11.7,23.1,140.8,237.8,2902.5,890,1627.7,384.7,"LA",3657391,42.0157702580883,25.465666645978,20.2365019217251,12.2820611742086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",1970,993663,887,1.5,7,12.6,68.1,1970.7,638.5,1179.6,152.6,"ME",998135,38.1752969287722,24.1211860119122,21.6356504881604,16.0678665711552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",1970,3922399,24512,9.2,23.9,338.6,253.3,4016.1,1051.2,2417.3,547.6,"MD",3943493,38.5610422029404,27.5711659688505,22.5925594390557,11.2752323891535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",1970,5689170,11542,3.5,12,99.5,87.9,3543.4,1134.1,1531.2,878.1,"MA",5699034,36.5617576592805,25.2048505062437,22.6394859198945,15.5939059145813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",1970,8875083,51090,9.4,27.1,346.6,192.7,4931.8,1570.7,2897.1,464,"MI",8899844,40.2971332980668,25.5404926198706,21.9135751143503,12.2487989677122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",1970,3805069,5782,2,9.7,89.1,51.2,3048.9,801.7,1901.5,345.7,"MN",3815381,39.952418906526,24.8585921039078,20.3937169053366,14.7952720842296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",1970,2216912,3974,11.5,8.9,19,139.8,1123.1,351.2,693.6,78.4,"MS",2226138,42.0526041063043,23.76101571421,19.7898782555259,14.3965019239598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",1970,4677399,18986,10.7,27.4,200.8,167,3748.8,1137,2073.9,537.8,"MO",4686588,36.7747708994262,24.7025768000089,21.8124358275146,16.7102164730503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",1970,694409,774,3.2,10.5,22.3,75.5,2771.4,593.7,1955.9,221.8,"MT",697665,40.0025800348305,24.3103781901056,21.7241799430959,13.9628618319681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",1970,1483791,2731,3,9.3,57.3,114.5,2368.9,504.5,1572.5,291.9,"NE",1489064,37.9765409680175,24.3774612776885,20.8557859165221,16.7902118377719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",1970,488738,1948,8.8,19.6,188.4,181.7,5365.2,1660.6,3044,660.7,"NV",494996,37.6089907797235,29.1759933413603,23.2268543584191,9.98816152049714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",1970,737681,413,2,6,12.1,35.9,1666.2,565.6,928.6,172,"NH",742566,38.1245572784103,25.542780035714,21.4286676201173,14.9039950657585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",1970,7168164,20583,5.7,12.9,169.4,99,3288.2,1041.4,1689.4,557.4,"NJ",7193210,36.3179303815682,25.0265597695605,24.580903379715,14.0746064691563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",1970,1016000,3093,9.6,22.3,67.6,204.8,4131.6,1196.5,2532.4,402.8,"NM",1024290,43.6050337306817,26.2701969168888,19.7927344794931,10.3320348729364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",1970,18190740,124613,7.9,15.8,446.1,215.2,4286.3,1470.4,2125,690.9,"NY",18266034,35.3219149816539,25.6895941395926,23.5611189599231,15.4273719188303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",1970,5082059,18814,11.7,12.9,52.3,293.2,2272.5,765.8,1338.9,167.8,"NC",5107138,38.7560900057919,27.5397296881345,21.6487394701298,12.0554408359437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
