Yr,Pop,violent,murder,rape1,robbery,aggassault,propcrime,burg,larceny,mvtheft
1966,3576000,3691,2.2,7.3,49.4,44.4,2130.9,579.2,1305.5,246.3
1966,2327000,3504,9.7,8,13.3,119.6,746.6,238.4,448.6,59.6
1966,4508000,11149,5.4,17.6,105.8,118.5,2673,782.2,1606.3,284.6
1966,702000,507,2.8,9,17.8,42.6,2283.8,496,1555.1,232.6
1966,1456000,941,1.8,6.7,24.9,31.3,1861,420.1,1267,173.8
1966,454000,987,10.6,11.5,96.9,98.5,3407.9,931.5,2091.2,385.2
1966,681000,259,1.9,4.4,10.3,21.4,1100,349.8,647.7,102.5
1966,6898000,11168,3.5,9.3,63.7,85.4,2166.6,712.9,1121.7,332
1966,1022000,2221,6.3,13.5,44.8,152.7,3046.3,917.8,1856.3,272.2
1966,18258000,62561,4.8,13.4,164.8,159.6,2995.4,1074.2,1568.7,352.5
1966,5000000,14775,9.2,10.8,24.3,251.3,1408.7,442.7,825.2,140.9
1966,650000,231,1.8,4.3,6.2,23.2,1171.5,221.4,862.9,87.2
1966,10305000,15626,4.5,9.3,70,67.8,1947.1,490.7,1220.9,235.5
1966,2458000,3552,5.5,13.7,41.3,84.1,2048.7,611.7,1240.2,196.7
1966,1955000,2470,2.7,12.6,45.8,65.2,2860.9,685.1,1935.5,240.2
1966,11582000,15169,3.3,10.9,50.2,66.6,1362.2,423.7,728.7,209.9
1966,898000,849,1.4,5,25.4,62.7,2484.3,707.6,1262.7,514
1966,2586000,5844,11.6,13.6,28.8,172,1756.5,536.2,1060.2,160.2
1966,682000,568,1.5,8.9,10,62.9,1430.6,318.9,1021.1,90.6
1966,3883000,6145,7.8,10.8,34.4,105.2,1658.6,602.5,863.1,193.1
1966,10752000,24382,9.1,11.5,55.7,150.4,2645.8,768.7,1646.1,231
1966,1008000,1148,2,10.2,36.5,65.2,3216.4,689.7,2262.5,264.2
1966,405000,80,1.5,6.9,4,7.4,1097.3,427.9,552.6,116.8
1966,4507000,10399,8.1,12,44.5,166.2,2098,620.5,1272.2,205.3
1966,2980000,3673,2.5,11.6,36.7,72.4,2976,669.7,2065.9,240.4
1966,1794000,1613,4.2,5.1,19.1,61.5,846.6,259.3,509.8,77.5
1966,4161000,1984,1.9,3.6,12.9,29.2,1851.8,344.8,1315.5,191.6
1966,329000,273,4.9,12.2,21,45,2132.5,383.9,1597.9,150.8
1966,195576000,430180,5.6,13.2,80.8,120.3,2450.9,721,1442.9,286.9
1967,3540000,8448,11.7,10.5,33,183.5,1612.4,571.4,895,146
1967,272000,437,9.6,17.6,35.3,98.2,2723.9,688.6,1630.9,404.4
1967,1634000,3892,5.6,16.7,74.9,141,4599.8,1137.3,3055.3,407.2
1967,1968000,4320,8.8,14.2,35.2,161.3,1408.9,443.9,879.1,86
1967,19153000,67446,5.4,25,149,172.7,4703,1446,2748.8,508.1
1967,1975000,3789,4.1,20.9,67.9,98.9,3117.2,789.4,2019.5,308.4
1967,2925000,2804,2.4,5.6,32.2,55.7,2185.4,751.7,1112.6,321.1
1967,524000,948,8.6,11.5,65.5,95.4,2710.7,832.1,1500.2,378.4
1967,809000,9252,22,21.3,711.9,388.5,5517.2,1817.3,2648.3,1051.5
1967,5995000,23399,10.5,15.2,130.9,233.6,3713.3,1220.8,2206.8,285.7
1967,4509000,8536,11.1,12.4,37.3,128.5,1764.9,591.4,973.6,199.9
1967,739000,591,2.4,5,19.8,52.8,3639.4,1152.4,2082.8,404.2
1967,699000,478,4.3,8.7,10.9,44.5,1837.3,405.9,1318.6,112.9
1967,10893000,42956,7.3,17.9,200.9,168.3,2516.2,608.5,1486.1,421.7
1967,5000000,8143,3.8,12.7,78.7,67.8,2429.6,701.5,1389.3,338.9
1967,2753000,1608,1.5,5.6,21,30.3,1822.6,431.6,1235.8,155.2
1967,2275000,3248,4,10.7,42.2,86,2331.7,598.2,1548.6,184.9
1967,3189000,4484,7.2,9.1,47.1,77.2,1715.6,482.9,950.9,281.8
1967,3662000,10071,9.3,16.5,82.1,167.2,2113.8,656.2,1176.3,281.3
1967,973000,621,0.4,6,9.7,47.8,1559.1,457.6,990.4,111.1
1967,3682000,17458,8,19.6,212.1,234.5,3436.2,1014.8,1932.3,489.1
1967,5421000,6919,2.8,7.6,52,65.2,2354.5,675.5,1011.6,667.4
1967,8584000,33390,6.5,26.6,188.6,167.3,3673.1,1160.6,2123.5,389
1967,3582000,4727,1.6,8.6,67.1,54.7,2461.2,704.4,1464.4,292.4
1967,2348000,2672,8.7,5.5,10.6,89,786.4,257.8,471.9,56.7
1967,4603000,12746,7.3,17.1,130.5,122.1,2846.8,861.1,1630.7,355
1967,701000,588,2.4,10.3,21.4,49.8,2373.2,522.3,1635.2,215.7
1967,1435000,1624,2.7,8.2,38.7,63.6,1979.6,491.7,1299.7,188.2
1967,444000,1100,10.8,14.4,117.8,104.7,4056.3,1066.2,2513.3,476.8
1967,686000,218,2,3.4,6.1,20.3,1086.7,342.6,632.4,111.8
1967,7003000,13204,3.9,9.7,82.5,92.4,2549.1,861.4,1262.5,425.3
1967,1003000,2325,6.6,15.5,45.5,164.3,3038.6,851.3,1932,255.2
1967,18336000,75124,5.4,14.5,219.3,170.5,3367.2,1195.2,1715.1,456.9
1967,5029000,15995,9.9,11.3,32.1,264.8,1574.2,516.3,911.8,146.1
1967,639000,185,0.2,4.7,5.8,18.3,1370.4,241.2,1046.9,82.3
1967,10458000,19344,5.2,10.3,95,74.5,2333.4,607.6,1400.2,325.6
1967,2495000,3703,6.7,13.7,39.1,88.9,2166.1,626.5,1348.9,190.7
1967,1999000,3147,3.1,12.4,65.9,76.1,3307.7,857.4,2176.8,273.4
1967,11629000,16119,3.9,9.9,57.9,66.9,1527.9,487.7,803.9,236.3
1967,900000,1156,2.2,4.8,31.4,90,3007.9,896.9,1502.1,608.9
1967,2599000,6015,11.2,14.6,35,170.7,1859.6,638.8,1058.4,162.3
1967,674000,586,3.7,8.3,12.9,62,1469.7,341.5,1044.1,84.1
1967,3892000,8111,8.9,12.5,56.5,130.5,1899.2,711.8,944.2,243.1
1967,10869000,26749,9.9,13.1,69.5,153.6,2883.6,822.4,1796.6,264.5
1967,1024000,1194,2.7,7.2,38.5,68.2,3127.8,685.5,2217,225.3
1967,417000,86,3.1,4.3,1.9,11.3,1201.2,517,559.2,124.9
1967,4536000,10328,9.1,13.2,52.8,152.5,2391,721.1,1428.7,241.2
1967,3087000,4754,3.1,12.5,54.6,83.7,3582.7,837.7,2463.5,281.5
1967,1798000,1744,4.6,4.7,19.3,68.4,927.8,298.4,542,87.4
1967,4189000,2948,1.9,4.6,28,35.9,2161.8,450.3,1496.8,214.6
1967,315000,294,4.8,7.3,13.7,67.6,2318.7,506,1637.8,174.9
1967,197457000,499930,6.2,14,102.8,130.2,2736.5,826.6,1575.8,334.1
1968,3566000,8288,11.8,11.1,41,168.5,1766.6,628.2,967.7,170.7
1968,277000,486,10.5,21.7,52.7,90.6,3145.5,747.3,1915.9,482.3
1968,1670000,4402,6.3,18.7,86.7,151.9,4610.8,1167.4,3022.2,421.2
1968,2012000,4360,8.1,17.3,39.6,151.7,1741.8,569.7,1068.9,103.2
1968,19221000,81293,6,29.9,192.5,194.6,5298.2,1644.5,3032.3,621.4
1968,2048000,5387,5.4,26.1,96.5,135,3599.6,917,2262,420.6
1968,2959000,3825,2.5,8,45,73.7,2761.1,964.4,1420.5,376.1
1968,534000,1288,8.4,14,105.1,113.7,2924.3,885,1619.3,420
1968,809000,12180,24.1,32.1,1065.8,383.6,6362.5,2218.8,2740.3,1403.5
1968,6160000,27913,11.9,18.1,159.9,263.3,4045.4,1327,2398.5,319.9
1968,4588000,9903,13.9,13.5,47.5,141,1940.3,660.8,1043.1,236.4
