"","HHINCOME","VALUEH","EMPSTAT","FTOTINC","INCWELFR","POVERTY","FAMSIZE","NCHILD","MARST-MAR","MARST-SING","MARST-DIV","HIGRADE","EDUC-ELEM","EDUC-SOMEHS","EDUC-SOMECOL","EDUC-COL","EDUC-GRAD","SCHLTYPE-PUB","LANGUAGE","MIGRATE5","VETSTAT","VETWWII","VETWWI","RACESING-WH","RACESING-BL","RACESING-IN","RACESING-AS","RACESING-OT","RACESING-HI"
"AL",0,0.921348314606742,105.61797752809,18472.6779026217,29.4007490636704,14.9812734082397,366.292134831461,64.7940074906367,44.1947565543071,42.6966292134831,3.37078651685393,18.7265917602996,29.2134831460674,19.1011235955056,35.9550561797753,2.99625468164794,2.99625468164794,2.99625468164794,0,50.187265917603,73.0337078651685,5.61797752808989,0,76.7790262172285,22.4719101123595,0,0.749063670411985,0,0
"AK",0,1,150,32459.7916666667,21.0416666666667,29.1666666666667,441.666666666667,125,54.1666666666667,37.5,4.16666666666667,25,25,16.6666666666667,33.3333333333333,8.33333333333333,8.33333333333333,8.33333333333333,0,45.8333333333333,87.5,8.33333333333333,0,75,4.16666666666667,20.8333333333333,0,0,4.16666666666667
"AZ",0,0.975155279503106,105.590062111801,19286.3664596273,71.5527950310559,17.3913043478261,352.173913043478,61.4906832298137,44.7204968944099,40.9937888198758,6.2111801242236,31.6770186335404,19.2546583850932,12.4223602484472,47.8260869565217,4.34782608695652,4.34782608695652,4.34782608695652,0,44.0993788819876,76.3975155279503,3.72670807453416,0,91.304347826087,3.1055900621118,4.34782608695652,0.62111801242236,0.62111801242236,18.0124223602484
"AR",0,0.898203592814371,105.389221556886,17224.8502994012,85.059880239521,8.98203592814371,346.706586826347,62.874251497006,53.2934131736527,34.1317365269461,5.98802395209581,17.9640718562874,28.7425149700599,17.3652694610778,35.3293413173653,5.38922155688623,5.38922155688623,5.38922155688623,0,48.502994011976,76.6467065868264,6.58682634730539,0,82.6347305389222,16.1676646706587,0.598802395209581,0.598802395209581,0,0.598802395209581
"CA",0,1,92.1875,22243.0528846154,152.998798076923,22.4158653846154,332.512019230769,59.375,41.1057692307692,44.1105769230769,7.27163461538462,30.46875,22.8966346153846,13.6418269230769,41.4663461538462,6.55048076923077,6.55048076923077,6.55048076923077,0,47.5360576923077,76.3221153846154,5.10817307692308,0.240384615384615,84.1346153846154,8.35336538461538,1.5625,5.82932692307692,0.120192307692308,18.6298076923077
"CO",0,0.994974874371859,74.8743718592965,21807.4120603015,15.6532663316583,18.5929648241206,338.693467336683,49.2462311557789,40.7035175879397,51.7587939698493,4.02010050251256,28.1407035175879,26.1306532663317,11.5577889447236,37.1859296482412,9.54773869346734,9.54773869346734,9.54773869346734,0,44.2211055276382,71.356783919598,5.0251256281407,0,93.4673366834171,3.01507537688442,1.00502512562814,2.51256281407035,0,13.0653266331658
"CT",0,1,63.4361233480176,26985.2202643172,47.15859030837,28.6343612334802,333.920704845815,56.3876651982379,45.8149779735683,46.2555066079295,2.20264317180617,26.8722466960352,30.3964757709251,9.69162995594714,37.0044052863436,8.37004405286344,8.37004405286344,8.37004405286344,0,52.863436123348,74.4493392070485,7.48898678414097,0,94.7136563876652,4.84581497797357,0.440528634361234,0,0,3.52422907488987
"DE",0,0.958333333333333,85.4166666666667,23261.6666666667,66.7708333333333,29.1666666666667,366.666666666667,95.8333333333333,50,29.1666666666667,8.33333333333333,20.8333333333333,20.8333333333333,18.75,50,4.16666666666667,4.16666666666667,4.16666666666667,0,37.5,81.25,8.33333333333333,0,83.3333333333333,16.6666666666667,0,0,0,2.08333333333333
"DC",0,1,111.428571428571,17797.2857142857,259,20,308.571428571429,60,28.5714285714286,57.1428571428571,2.85714285714286,28.5714285714286,8.57142857142857,20,42.8571428571429,8.57142857142857,8.57142857142857,8.57142857142857,0,42.8571428571429,85.7142857142857,2.85714285714286,0,31.4285714285714,65.7142857142857,0,2.85714285714286,0,11.4285714285714
"FL",0,0.979942693409742,97.134670487106,18599.5773638968,63.9255014326648,14.6131805157593,324.498567335244,53.8681948424069,48.4240687679083,38.6819484240688,5.30085959885387,23.2091690544413,23.9255014326648,16.9054441260745,40.8309455587393,7.30659025787966,7.30659025787966,7.30659025787966,0,44.5558739255014,78.3667621776504,6.30372492836676,0.143266475644699,83.6676217765043,15.3295128939828,0.429799426934097,0.286532951289398,0.286532951289398,8.45272206303725
