"","HHINCOME","VALUEH","EMPSTAT","FTOTINC","INCWELFR","POVERTY","FAMSIZE","NCHILD","MARST-MAR","MARST-SING","MARST-DIV","HIGRADE","EDUC-ELEM","EDUC-SOMEHS","EDUC-SOMECOL","EDUC-COL","EDUC-GRAD","SCHLTYPE-PUB","LANGUAGE","MIGRATE5","VETSTAT","VETWWII","VETWWI","RACESING-WH","RACESING-BL","RACESING-IN","RACESING-AS","RACESING-OT","RACESING-HI"
"AL",0,0.683333333333333,119.166666666667,7293.33333333333,18.3333333333333,5.83333333333333,437.5,58.3333333333333,37.5,49.1666666666667,2.5,9.16666666666667,41.6666666666667,16.6666666666667,23.3333333333333,2.5,2.5,2.5,0,47.5,12.5,12.5,12.5,71.6666666666667,28.3333333333333,0,0,0,0
"AK",0,0.882352941176471,88.2352941176471,12097.0588235294,0,23.5294117647059,388.235294117647,82.3529411764706,35.2941176470588,47.0588235294118,5.88235294117647,29.4117647058824,29.4117647058824,5.88235294117647,41.1764705882353,5.88235294117647,5.88235294117647,5.88235294117647,0,70.5882352941177,35.2941176470588,35.2941176470588,35.2941176470588,82.3529411764706,0,17.6470588235294,0,0,0
"AZ",0,0.795180722891566,106.024096385542,8611.44578313253,29.5180722891566,8.43373493975904,390.361445783133,84.3373493975904,45.7831325301205,43.3734939759036,4.81927710843374,9.63855421686747,37.3493975903614,14.4578313253012,34.9397590361446,0,0,0,0,39.7590361445783,14.4578313253012,12.0481927710843,12.0481927710843,93.9759036144578,4.81927710843374,1.20481927710843,0,0,20.4819277108434
"AR",0,0.520833333333333,154.166666666667,7888.54166666667,19.7916666666667,8.33333333333333,422.916666666667,56.25,37.5,54.1666666666667,4.16666666666667,6.25,43.75,22.9166666666667,20.8333333333333,0,0,0,0,52.0833333333333,25,25,25,79.1666666666667,20.8333333333333,0,0,0,0
"CA",0,0.919567827130852,96.1584633853541,10874.6098439376,48.3193277310924,15.9663865546218,376.830732292917,66.7466986794718,43.2172869147659,47.2989195678271,3.96158463385354,20.2881152460984,32.5330132052821,15.9663865546218,32.6530612244898,4.92196878751501,4.92196878751501,4.92196878751501,0,45.2581032412965,17.7671068427371,16.3265306122449,16.3265306122449,87.6350540216086,9.72388955582233,0.240096038415366,2.1608643457383,0.240096038415366,13.6854741896759
"CO",0,0.814285714285714,97.1428571428571,10004.2857142857,40,8.57142857142857,381.428571428571,90,51.4285714285714,40,4.28571428571429,18.5714285714286,31.4285714285714,11.4285714285714,44.2857142857143,4.28571428571429,4.28571428571429,4.28571428571429,0,45.7142857142857,14.2857142857143,12.8571428571429,12.8571428571429,91.4285714285714,7.14285714285714,0,1.42857142857143,0,11.4285714285714
"CT",0,0.96,89.6,13115.6,6.8,19.2,404.8,68,40,51.2,2.4,21.6,33.6,12.8,36,4,4,4,0,40.8,16.8,16.8,16.8,92.8,7.2,0,0,0,1.6
"DE",0,1,66.6666666666667,12116.6666666667,0,33.3333333333333,311.111111111111,77.7777777777778,55.5555555555556,33.3333333333333,0,22.2222222222222,11.1111111111111,11.1111111111111,44.4444444444444,0,0,0,0,33.3333333333333,11.1111111111111,0,0,100,0,0,0,0,0
"DC",0,0.931034482758621,124.137931034483,10772.4137931034,0,13.7931034482759,331.034482758621,44.8275862068966,31.0344827586207,44.8275862068966,13.7931034482759,31.0344827586207,31.0344827586207,20.6896551724138,37.9310344827586,3.44827586206897,3.44827586206897,3.44827586206897,0,37.9310344827586,13.7931034482759,13.7931034482759,13.7931034482759,31.0344827586207,68.9655172413793,0,0,0,0
"FL",0,0.732851985559567,114.801444043321,9690.25270758123,15.3429602888087,9.38628158844765,387.725631768953,59.5667870036101,44.7653429602888,44.7653429602888,3.6101083032491,13.7184115523466,38.9891696750903,16.6064981949458,33.5740072202166,2.88808664259928,2.88808664259928,2.88808664259928,0,44.4043321299639,17.6895306859206,17.3285198555957,17.3285198555957,79.7833935018051,20.2166064981949,0,0,0,2.16606498194946
"GA",0,0.793333333333333,94,8948.66666666667,31.6666666666667,8.66666666666667,430.666666666667,68,36.6666666666667,46.6666666666667,6.66666666666667,13.3333333333333,40.6666666666667,22,21.3333333333333,4,4,4,0,43.3333333333333,16.6666666666667,16.6666666666667,16.6666666666667,70,30,0,0,0,0
"HI",0,0.935483870967742,54.8387096774194,12748.3870967742,20.9677419354839,12.9032258064516,519.354838709677,48.3870967741936,38.7096774193548,58.0645161290323,0,0,45.1612903225806,9.67741935483871,32.258064516129,0,0,0,0,25.8064516129032,0,0,0,29.0322580645161,0,0,67.741935483871,3.2258064516129,3.2258064516129
"ID",0,0.625,100,8450,43.75,0,425,137.5,50,50,0,12.5,37.5,25,25,0,0,0,0,37.5,25,25,25,87.5,0,12.5,0,0,0
"IL",0,0.876513317191283,104.600484261501,11960.411622276,13.8014527845036,16.7070217917676,401.452784503632,79.1767554479419,43.5835351089588,46.2469733656174,1.69491525423729,17.4334140435835,39.225181598063,14.5278450363196,29.0556900726392,4.11622276029056,4.11622276029056,4.11622276029056,0,49.8789346246973,21.7917675544794,21.5496368038741,21.5496368038741,88.6198547215496,10.8958837772397,0,0.242130750605327,0.242130750605327,2.42130750605327
"IN",0,0.66304347826087,95.1086956521739,11046.4673913043,0,11.4130434782609,375,84.2391304347826,54.8913043478261,38.0434782608696,1.6304347826087,13.0434782608696,33.1521739130435,17.3913043478261,35.3260869565217,3.80434782608696,3.80434782608696,3.80434782608696,0,46.195652173913,16.8478260869565,16.8478260869565,16.8478260869565,91.8478260869565,7.06521739130435,0,1.08695652173913,0,0.543478260869565
"IA",0,0.78021978021978,112.087912087912,10638.4615384615,53.2967032967033,10.989010989011,398.901098901099,82.4175824175824,49.4505494505495,40.6593406593407,4.3956043956044,8.79120879120879,40.6593406593407,16.4835164835165,37.3626373626374,3.2967032967033,3.2967032967033,3.2967032967033,0,49.4505494505495,15.3846153846154,15.3846153846154,15.3846153846154,96.7032967032967,3.2967032967033,0,0,0,0
"KS",0,0.7375,105,7712.5,55.625,5,378.75,46.25,41.25,51.25,1.25,5,32.5,25,30,2.5,2.5,2.5,0,47.5,20,18.75,18.75,92.5,6.25,1.25,0,0,1.25
"KY",0,0.730337078651685,144.943820224719,7916.85393258427,39.3258426966292,4.49438202247191,430.337078651685,42.6966292134831,34.8314606741573,57.3033707865169,1.12359550561798,8.98876404494382,48.314606741573,19.1011235955056,20.2247191011236,2.24719101123596,2.24719101123596,2.24719101123596,0,48.314606741573,15.7303370786517,14.6067415730337,14.6067415730337,94.3820224719101,5.61797752808989,0,0,0,0
"LA",0,0.746153846153846,116.923076923077,7732.30769230769,15,6.15384615384615,432.307692307692,52.3076923076923,36.1538461538462,52.3076923076923,3.07692307692308,16.9230769230769,39.2307692307692,17.6923076923077,23.0769230769231,4.61538461538462,4.61538461538462,4.61538461538462,0,41.5384615384615,13.0769230769231,12.3076923076923,12.3076923076923,65.3846153846154,33.8461538461538,0.769230769230769,0,0,2.30769230769231
"ME",0,0.717948717948718,151.282051282051,7489.74358974359,47.4358974358974,5.12820512820513,371.794871794872,56.4102564102564,41.025641025641,53.8461538461538,0,7.69230769230769,46.1538461538462,12.8205128205128,25.6410256410256,2.56410256410256,2.56410256410256,2.56410256410256,0,43.5897435897436,10.2564102564103,7.69230769230769,7.69230769230769,97.4358974358974,0,0,2.56410256410256,0,0
"MD",0,0.847826086956522,78.9855072463768,11540.9420289855,10.5072463768116,19.5652173913043,395.652173913043,57.2463768115942,41.304347826087,44.9275362318841,2.17391304347826,15.2173913043478,41.304347826087,10.8695652173913,24.6376811594203,5.79710144927536,5.79710144927536,5.79710144927536,0,46.3768115942029,17.3913043478261,16.6666666666667,16.6666666666667,78.9855072463768,21.0144927536232,0,0,0,1.44927536231884
