"Yr","Pop","violent","murder","rape1","robbery","aggassault","propcrime","burg","larceny","mvtheft","ST","PopTotal_1970"
"528",1975,579000,2270,7.3,18.1,157.2,209.5,6276.2,1826.3,3926.9,523,"DE",NA
"529",1975,716000,12704,32.8,72.6,1276.1,392.7,5929.2,1838.5,3616.2,474.4,"DC",NA
"530",1975,8357000,57540,13.5,35.7,239.7,399.6,7032.7,2349.6,4240.4,442.6,"FL",NA
"531",1975,4926000,22608,14.4,25.4,166.5,252.6,4167,1580.7,2248.5,337.7,"GA",NA
"532",1975,865000,1889,7.7,24.7,127.6,58.3,5808.2,1826.8,3457.7,523.7,"HI",NA
"533",1975,820000,1670,5.2,16.1,42,140.4,3937.4,1063,2651.3,223,"ID",NA
"534",1975,11145000,74699,10.6,25.7,325.8,308.1,5033.2,1409.7,3030,593.5,"IL",NA
"535",1975,5311000,17677,8.5,24.3,156.8,143.3,4578.6,1376.4,2813.9,388.3,"IN",NA
"536",1975,2870000,4039,2.5,10.3,53.5,74.4,3768,818.5,2719.8,229.7,"IA",NA
"537",1975,2267000,6307,5.4,17.2,92.8,162.8,4468.8,1369.5,2862.8,236.4,"KS",NA
"538",1975,3396000,8967,10.2,15.4,103.2,135.3,3000.3,962.8,1774.2,263.4,"KY",NA
"539",1975,3791000,18137,12.6,23.7,153.1,289,3645,1114.6,2191.8,338.5,"LA",NA
"540",1975,1059000,2324,2.8,10.4,36.4,169.8,3740.1,1361.5,2167.9,210.8,"ME",NA
"541",1975,4098000,29087,10.7,31.5,344.2,323.4,5197.7,1413.2,3267.6,516.9,"MD",NA
"542",1975,5828000,25793,4.2,19.2,227,192.2,5635.3,1712.5,2351.7,1571.1,"MA",NA
"543",1975,9157000,62792,11.9,38.1,353.1,282.7,6114.6,1891.8,3572.9,649.9,"MI",NA
"544",1975,3926000,8125,3.3,18.6,103.6,81.4,4091.7,1193.1,2516.1,382.5,"MN",NA
"545",1975,2346000,7411,13.9,16.5,54.6,230.9,2094.8,784.2,1181.3,129.3,"MS",NA
"546",1975,4763000,23521,10.6,25.2,244.7,213.3,4904,1512.6,2924.7,466.7,"MO",NA
"547",1975,748000,1418,5.2,14.3,41.4,128.6,3999.3,875.1,2814.8,309.4,"MT",NA
"548",1975,1546000,3986,4.3,19.2,90.4,143.9,3356.2,760.2,2365,231,"NE",NA
"549",1975,592000,4018,13,47.1,302.5,316,7474.2,2447.1,4517.1,510,"NV",NA
"550",1975,818000,816,2.9,8.7,28.9,59.3,3246.8,853.1,2135.7,258.1,"NH",NA
"551",1975,7316000,30215,6.8,18.9,222.6,164.6,4731.3,1521.2,2672.5,537.7,"NJ",NA
"552",1975,1147000,6134,13.3,41,126.7,353.8,5304.6,1728.7,3258.8,317.2,"NM",NA
"553",1975,18120000,155187,11,28.1,516,301.3,4779.3,1666.6,2471,641.7,"NY",NA
"554",1975,5451000,23791,12.4,16.2,82.2,325.6,3380.3,1285.1,1909.2,186,"NC",NA
"555",1975,635000,337,0.8,5.8,14.3,32.1,2284.1,539.2,1614.3,130.6,"ND",NA
"556",1975,10759000,43901,8.1,25.3,220,154.6,4506.4,1271.4,2808.6,426.4,"OH",NA
"557",1975,2712000,8225,9.4,27.2,90.2,176.5,4274.8,1551.8,2375,348,"OK",NA
"558",1975,2288000,10034,6.2,32.6,130.3,269.4,6313.7,1911.6,3935.9,466.2,"OR",NA
"559",1975,11827000,38933,6.8,17.4,168.6,136.5,3020.3,983.3,1670,367,"PA",NA
"560",1975,927000,2802,3,10.9,95.9,192.4,5341.5,1446.3,2878.4,1016.8,"RI",NA
"561",1975,2818000,14412,14.7,26.5,110.9,359.3,4130.1,1714.2,2156.3,259.6,"SC",NA
"562",1975,683000,1402,3.7,16.5,31,154,2533.7,667.8,1698,167.9,"SD",NA
"563",1975,4188000,16627,11.4,26.1,166.8,192.6,3873.5,1379.3,2129.5,364.7,"TN",NA
