"","Yr","Pop","violent","murder","rape1","robbery","aggassault","propcrime","burg","larceny","mvtheft","ST","PopTotal","Pop_Un18","Pop_20to40","Pop_40to60","Pop_60Ov","EMPSTAT","FTOTINC","INCWELFR","POVERTY","FAMSIZE","NCHILD","MARST-MAR","MARST-SING","MARST-DIV","HIGRADE","EDUC-ELEM","EDUC-SOMEHS","EDUC-SOMECOL","EDUC-COL","EDUC-GRAD","SCHLTYPE-PUB","LANGUAGE","MIGRATE5","VETSTAT","VETWWII","VETWWI","RACESING-WH","RACESING-BL","RACESING-IN","RACESING-AS","RACESING-OT","RACESING-HI"
"1",1970,3444165,10185,11.7,18.5,50.3,215.2,2183.8,776.4,1184,223.5,"AL",3454557,0.395117232108198,0.253070943683951,0.214122968589026,0.137688855618825,119.166666666667,7293.33333333333,18.3333333333333,5.83333333333333,437.5,58.3333333333333,45.4828660436137,49.1666666666667,2.5,9.16666666666667,41.6666666666667,16.6666666666667,23.3333333333333,2.5,2.5,2.5,0,47.5,12.5,12.5,12.5,71.6666666666667,28.3333333333333,0,0,0,0
"2",1970,302173,840,12.2,26.1,71.8,167.8,3523.8,789.9,2182.5,551.3,"AK",305328,0.429433265209873,0.355679793533511,0.174887334276581,0.0399996069800346,88.2352941176471,12097.0588235294,0,23.5294117647059,388.235294117647,82.3529411764706,45.4828660436137,47.0588235294118,5.88235294117647,29.4117647058824,29.4117647058824,5.88235294117647,41.1764705882353,5.88235294117647,5.88235294117647,5.88235294117647,0,70.5882352941177,35.2941176470588,35.2941176470588,35.2941176470588,82.3529411764706,0,17.6470588235294,0,0,0
"3",1970,1772482,6564,9.5,27,120.2,213.7,5543.9,1493,3549.7,501.2,"AZ",1799531,0.399405178349248,0.261224174521028,0.207405151675631,0.131965495454093,106.024096385542,8611.44578313253,29.5180722891566,8.43373493975904,390.361445783133,84.3373493975904,45.4828660436137,43.3734939759036,4.81927710843374,9.63855421686747,37.3493975903614,14.4578313253012,34.9397590361446,0,0,0,0,39.7590361445783,14.4578313253012,12.0481927710843,12.0481927710843,93.9759036144578,4.81927710843374,1.20481927710843,0,0,20.4819277108434
"4",1970,1923295,4276,10.1,17.1,45.6,149.5,2198.8,759.4,1320,119.4,"AR",1932816,0.375869198102665,0.236985827931888,0.213349330717461,0.173795643247986,154.166666666667,7888.54166666667,19.7916666666667,8.33333333333333,422.916666666667,56.25,45.4828660436137,54.1666666666667,4.16666666666667,6.25,43.75,22.9166666666667,20.8333333333333,0,0,0,0,52.0833333333333,25,25,25,79.1666666666667,20.8333333333333,0,0,0,0
"5",1970,19953134,94741,6.9,35.1,206.9,225.9,5864.3,1753,3422.1,689.2,"CA",20045806,0.367352053591659,0.280248496867624,0.223862487744319,0.128536961796398,96.1584633853541,10874.6098439376,48.3193277310924,15.9663865546218,376.830732292917,66.7466986794718,45.4828660436137,47.2989195678271,3.96158463385354,20.2881152460984,32.5330132052821,15.9663865546218,32.6530612244898,4.92196878751501,4.92196878751501,4.92196878751501,0,45.2581032412965,17.7671068427371,16.3265306122449,16.3265306122449,87.6350540216086,9.72388955582233,0.240096038415366,2.1608643457383,0.240096038415366,13.6854741896759
"6",1970,2207259,7874,6.2,36,129.1,185.4,4961.4,1380.9,2992.1,588.4,"CO",2228340,0.389338700557366,0.284183742157839,0.206064155380238,0.120413401904557,97.1428571428571,10004.2857142857,40,8.57142857142857,381.428571428571,90,45.4828660436137,40,4.28571428571429,18.5714285714286,31.4285714285714,11.4285714285714,44.2857142857143,4.28571428571429,4.28571428571429,4.28571428571429,0,45.7142857142857,14.2857142857143,12.8571428571429,12.8571428571429,91.4285714285714,7.14285714285714,0,1.42857142857143,0,11.4285714285714
"7",1970,3032217,5167,3.5,9.1,70.4,87.4,3319,1084.2,1750.7,484.2,"CT",3038035,0.368276863169779,0.255315030932823,0.239734894430117,0.136673211467281,89.6,13115.6,6.8,19.2,404.8,68,45.4828660436137,51.2,2.4,21.6,33.6,12.8,36,4,4,4,0,40.8,16.8,16.8,16.8,92.8,7.2,0,0,0,1.6
"8",1970,548104,1795,7.7,18.6,105.5,195.8,3935.6,1056.2,2320.4,559,"DE",551509,0.394845777675432,0.26785238318867,0.221102466142892,0.116199372993006,66.6666666666667,12116.6666666667,0,33.3333333333333,311.111111111111,77.7777777777778,45.4828660436137,33.3333333333333,0,22.2222222222222,11.1111111111111,11.1111111111111,44.4444444444444,0,0,0,0,33.3333333333333,11.1111111111111,0,0,100,0,0,0,0,0
"9",1970,756510,16846,29.2,95.2,1561.9,540.5,8656.6,2873.7,4314.3,1468.6,"DC",755466,0.335011767571274,0.310786984457275,0.217328112714536,0.136873135256914,124.137931034483,10772.4137931034,0,13.7931034482759,331.034482758621,44.8275862068966,45.4828660436137,44.8275862068966,13.7931034482759,31.0344827586207,31.0344827586207,20.6896551724138,37.9310344827586,3.44827586206897,3.44827586206897,3.44827586206897,0,37.9310344827586,13.7931034482759,13.7931034482759,13.7931034482759,31.0344827586207,68.9655172413793,0,0,0,0
"10",1970,6789443,33824,12.7,22.2,186.1,277.2,4819,1561.8,2860.6,396.6,"FL",6865460,0.341792392643756,0.238709715008171,0.220792925747146,0.198704966600927,114.801444043321,9690.25270758123,15.3429602888087,9.38628158844765,387.725631768953,59.5667870036101,45.4828660436137,44.7653429602888,3.6101083032491,13.7184115523466,38.9891696750903,16.6064981949458,33.5740072202166,2.88808664259928,2.88808664259928,2.88808664259928,0,44.4043321299639,17.6895306859206,17.3285198555957,17.3285198555957,79.7833935018051,20.2166064981949,0,0,0,2.16606498194946
